,Title,Pre-Production,Link,start_year,end_year,certificate,runtime,genre,ratings,review,stars,votes
66,Pacific Rim,No,/title/tt9288848/,2021,No Finale yet,16,24 min," Action, Adventure            ",7.1,"After Kaiju ravage Australia, two siblings pilot a Jaeger to search for their parents, encountering new creatures, seedy characters and chance allies.","Gideon Adlon,Calum Worthy,Erica Lindbeck,Victoria Grace","3,021"
67,Kiseijû: Sei no kakuritsu,Yes,/title/tt3358020/,2014,2015,NA,NA,NA,NA,NA,NA,NA
68,That Time I Got Reincarnated as a Slime,No,/title/tt9054364/,2018,No Finale yet,16,25 min," Action, Adventure            ",8.1,"Lonely thirty-seven-year-old Mikami Satoru is stuck in a dead-end job, unhappy with his mundane life, but after dying at the hands of a robber, he awakens to a fresh start in a fantasy ...                See full summary »","Miho Okasaki,Brittney Karbowski,Mallorie Rodak,Megumi Toyoguchi","5,323"
69,Dragon Ball Super: Doragon bôru cho,No,/title/tt4644488/,2015,2018,7,24 min," Action, Adventure            ",8.4,"Six months after the defeat of Majin Buu, The mighty Saiyan Son Goku continues his quest on becoming stronger.","Masako Nozawa,Naoki Tatsuta,Ryô Horikawa,Sean Schemmel","24,743"
70,DARLING in the FRANXX,No,/title/tt7865090/,2018,No Finale yet,Not Rated,24 min," Action, Drama            ",7.4,"In a future world where humanity has been driven to endangerment by giant beasts, a strike force is assembled to destroy the monsters and save the world.","Yûto Uemura,Kana Ichinose,Nanami Yamashita,Saori Hayami","5,809"
71,Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~,No,/title/tt9522300/,2019,No Finale yet,16,24 min," Comedy, Romance            ",8.4,The proudly privileged top two students of an elite school each makes it their mission to be the first to extract a confession of love from the other.,"Aoi Koga,Makoto Furukawa,Konomi Kohara,Yutaka Aoyama","5,655"
72,Kakegurui,No,/title/tt7131720/,2017,No Finale yet,16,24 min," Drama, Mystery            ",7.2,A gambling prodigy comes to an elite school run by games and turns the order upside down.,"Saori Hayami,Tatsuya Tokutake,Miyuki Sawashiro,Minami Tanaka","5,595"
73,Devilman: Crybaby,Yes,/title/tt6660498/,2018,No Finale yet,NA,NA,NA,NA,NA,NA,NA
74,Kaze no tani no Naushika,No,/title/tt0087544/,1984,No Finale yet,U,117 min," Adventure, Fantasy            ",8.1,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,"Hayao Miyazaki,Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda,Gorô Naya","154,904"
75,Overlord,No,/title/tt4869896/,2015,No Finale yet,18,30 min," Action, Adventure            ",7.8,"A young man is trapped within a video game as a warrior king, and sets out to make this new world his own empire.","Satoshi Hino,Chris Guerrero,Elizabeth Maxwell,Yumi Hara","6,494"
76,Mushoku-tensei ~Isekai ittara honki dasu~,Yes,/title/tt13293588/,2021,No Finale yet,NA,NA,NA,NA,NA,NA,NA
77,Kingsglaive: Final Fantasy XV,No,/title/tt5595168/,2016,No Finale yet,UA,110 min," Action, Adventure            ",6.8,"King Regis, who oversees the land of Lucis, commands his army of soldiers to protect the kingdom from the Niflheim empire's plans to steal the sacred crystal which gives Lucis its magic and power.","Takeshi Nozue,Aaron Paul,Lena Headey,Sean Bean,Neil Newbon","20,480"
78,Hagane no renkinjutsushi,No,/title/tt0421357/,2003,2004,16,24 min," Action, Adventure            ",8.5,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them; the fabled philosopher's stone.","Vic Mignogna,Aaron Dismuke,Romi Pak,Rie Kugimiya","63,687"
79,Shin Evangelion Gekijôban,Yes,/title/tt2458948/,2021,No Finale yet,NA,NA,NA,NA,NA,NA,NA
80,Resident Evil: Vendetta,No,/title/tt5776208/,2017,No Finale yet,R,97 min," Action, Adventure            ",6.3,"Chris Redfield enlists the help of Leon S. Kennedy and Rebecca Chambers to stop a death merchant, with a vengeance, from spreading a deadly virus in New York.","Takanori Tsujimoto,Kevin Dorman,Matthew Mercer,Erin Cahill,John DeMita","11,338"
81,Majo no takkyûbin,No,/title/tt0097814/,1989,No Finale yet,U,103 min," Adventure, Drama            ",7.8,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.","Hayao Miyazaki,Kirsten Dunst,Minami Takayama,Rei Sakuma,Kappei Yamaguchi","128,157"
82,Kimi no suizô o tabetai,No,/title/tt7236034/,2018,No Finale yet,U,109 min," Drama, Family            ",8.0,"A high school student discovers one of his classmates, Sakura Yamauchi, is suffering from a terminal illness. This secret brings the two together, as she lives out her final moments.","Shin'ichirô Ushijima,Mahiro Takasugi,Lynn,Yukiyo Fujii,Yuma Uchida","9,540"
83,Star Wars: Resistance,Yes,/title/tt8336340/,2018,2020,NA,NA,NA,NA,NA,NA,NA
84,High-Rise Invasion,No,/title/tt13352232/,2021,No Finale yet,18,25 min," Action, Horror            ",6.8,"High schooler Yuri finds herself atop a skyscraper in a strange world, where she must survive against masked assailants bent on killing their prey.","Haruka Shiraishi,Shiki Aoki,Yuichiro Umehara,Zeno Robinson","1,424"
85,Papurika,No,/title/tt0851578/,2006,No Finale yet,U,90 min," Drama, Fantasy            ",7.7,"When a machine that allows therapists to enter their patients' dreams is stolen, all Hell breaks loose. Only a young female therapist, Paprika, can stop it.","Satoshi Kon,Megumi Hayashibara,Tôru Emori,Katsunosuke Hori,Tôru Furuya","73,462"
86,Seishun Buta Yaro wa Bunny Girl-senpai no Yume wo Minai,Yes,/title/tt8993398/,2018,No Finale yet,NA,NA,NA,NA,NA,NA,NA
87,Resident Evil: Infinite Darkness,Yes,/title/tt13173456/,2021,No Finale yet,NA,NA,NA,NA,NA,NA,NA
88,Kaze tachinu,No,/title/tt2013293/,2013,No Finale yet,PG-13,126 min," Biography, Drama            ",7.8,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.","Hayao Miyazaki,Hideaki Anno,Hidetoshi Nishijima,Miori Takimoto,Masahiko Nishimura","76,119"
89,Tate no Yuusha no Nariagari,No,/title/tt9529546/,2018,No Finale yet,12+,24 min," Action, Adventure            ",8.1,"Stories of old tell of four otherworldly heroes - wielding the sword, spear, bow, and shield - who defended the land from wave after wave of calamity. With the fate of the world in balance,...                See full summary »","Kaito Ishikawa,Asami Seto,Billy Kametz,Erica Mendez","7,276"
90,Super Dragon Ball Heroes,Yes,/title/tt8433216/,2018,No Finale yet,NA,NA,NA,NA,NA,NA,NA
91,Horimiya,Yes,/title/tt13103134/,NA,No Finale yet,NA,NA,NA,NA,NA,NA,NA
92,Bungou Stray Dogs,No,/title/tt5679720/,2016,No Finale yet,16,24 min," Action, Comedy            ",7.7,"Nakajima Atsushi was kicked out of his orphanage, and now he has no place to go and no food. While he is standing by a river, on the brink of starvation, he rescues a man whimsically ...                See full summary »","Mamoru Miyano,Yûto Uemura,Kaiji Tang,Yoshimasa Hosoya","3,320"
93,Ben 10: Alien Force,No,/title/tt1192169/,2008,2010,All,22 min," Action, Adventure            ",7.2,"Fifteen-year-old Ben Tennyson must utilize the Omnitrix yet again in order to locate his missing Grandpa Max, accompanied by his cousin Gwen and former enemy Kevin 11.","Yuri Lowenthal,Dee Bradley Baker,Ashley Johnson,Greg Cipes","7,493"
94,Tenkû no shiro Rapyuta,No,/title/tt0092067/,1986,No Finale yet,U,125 min," Adventure, Drama            ",8.0,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,"Hayao Miyazaki,Mayumi Tanaka,Keiko Yokozawa,Kotoe Hatsui,Minori Terada","153,178"
95,Hige o Soru. Soshite Joshikousei o Hirou.,Yes,/title/tt13198632/,2021,No Finale yet,NA,NA,NA,NA,NA,NA,NA
96,Fire Force,Yes,/title/tt9307686/,2019,No Finale yet,NA,NA,NA,NA,NA,NA,NA
97,Banana Fish,No,/title/tt8515016/,2018,No Finale yet,16,22 min," Action, Adventure            ",8.2,The story captures the war between a mafia boss named Dino and a young gang leader searching for redemption.,"Jun Fukuyama,Makoto Furukawa,Hiroaki Hirata,Yoshimasa Hosoya","2,853"
98,Wonder Egg Priority,Yes,/title/tt13248076/,2021,No Finale yet,NA,NA,NA,NA,NA,NA,NA
99,Ben 10: Omniverse,No,/title/tt2293002/,2012,2014,7,22 min," Action, Adventure            ",5.9,"The continuing adventures of Ben Tennyson (Yuri Lowenthal) and his new partner, Rook Blonko (Bumper Robinson).","Yuri Lowenthal,Bumper Robinson,Eric Bauza,Paul Eiding","3,569"
100,Beastars,No,/title/tt11043632/,2019,No Finale yet,UA,23 min," Crime, Drama            ",7.8,"In a world of anthropomorphic animals, a reclusive wolf's complicated relationship with a kindly rabbit is tested by a classmate's murder, a charismatic deer's influence, and his own burgeoning predatory instincts.","Chikahiro Kobayashi,Yuki Ono,Sayaka Senbongi,Fukushi Ochiai","6,577"
101,Gokushufudo,No,/title/tt13357124/,2021,No Finale yet,16,16 min," Action, Comedy            ",7.3,A retired gangster spends his time as a househusband carrying out home chores.,"Kenjirô Tsuda,Shizuka Itô,Kazuyuki Okitsu,Melissa Greenspan","1,748"
102,Shinmai Maou no Testament,Yes,/title/tt4219258/,2015,No Finale yet,NA,NA,NA,NA,NA,NA,NA
103,Samurai chanpurû,Yes,/title/tt0423731/,2004,2005,NA,NA,NA,NA,NA,NA,NA
104,Psycho-Pass,No,/title/tt2379308/,2012,No Finale yet,16,25 min," Action, Crime            ",8.2,"Believing in humanity and order, policewoman Akane Tsunemori obeys the ruling, computerized, precognitive Sibyl System. But when she faces a criminal mastermind who can elude this ""perfect"" system, she questions both Sibyl and herself.","Kana Hanazawa,Miyuki Sawashiro,Noriko Hidaka,Shizuka Itô","16,390"
105,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",No,/title/tt0169858/,1997,No Finale yet,UA,87 min," Action, Drama            ",8.1,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,"Hideaki Anno,Kazuya Tsurumaki,Megumi Ogata,Megumi Hayashibara,Yûko Miyamura,Kotono Mitsuishi","41,594"
106,Dragon Ball: Doragon bôru,No,/title/tt0088509/,1986,1989,U,24 min," Action, Adventure            ",8.5,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.","Masako Nozawa,Jôji Yanami,Brice Armstrong,Stephanie Nadolny","49,254"
107,Saiki Kusuo no Psi Nan,No,/title/tt6354518/,2016,No Finale yet,16,24 min," Comedy, Fantasy            ",8.3,"Saiki Kusuo is a powerful psychic who hates attracting attention, yet he is surrounded by colorful characters who always find a way to remove him from his everyday life.","Hiroshi Kamiya,Daisuke Ono,Nobunaga Shimazaki,Ai Kayano","4,221"
108,Dororo,Yes,/title/tt9458304/,2019,No Finale yet,NA,NA,NA,NA,NA,NA,NA
109,Nande Koko ni Sensei ga!?,Yes,/title/tt9826344/,2019,No Finale yet,NA,NA,NA,NA,NA,NA,NA
110,Kono subarashii sekai ni shukufuku o!,No,/title/tt5370118/,2016,2017,16,24 min," Adventure, Comedy            ",7.8,It was a happy day for Kazuma - right up to the moment he died. A goddess intervenes and offers him a second chance in a magical land.,"Jun Fukushima,Sora Amamiya,Rie Takahashi,Ai Kayano","6,988"
111,Go-Toubun no Hanayome,No,/title/tt9584920/,2019,No Finale yet,13,24 min," Comedy, Drama            ",7.6,"A poor, straight A student is hired to tutor some rich quintuplets. The story is told as a flashback from a future that shows that he ends up getting married to one of them.","Yoshitsugu Matsuoka,Kana Hanazawa,Ayana Taketatsu,Miku Itou","2,203"
112,Kuroko no basuke,No,/title/tt2348803/,2012,2015,13,24 min," Comedy, Sport            ",8.3,"The Teiko Middle School Basketball Team. The school that produced three perfect seasons in a row, with five once-in-a generation players, called ""The Generation of Miracles."" There was ...                See full summary »","Kenshô Ono,Yoshimasa Hosoya,Yuki Ono,Hirofumi Nojima","5,943"
113,Gakuen mokushiroku: HIGHSCHOOL OF THE DEAD,Yes,/title/tt1685401/,2010,No Finale yet,NA,NA,NA,NA,NA,NA,NA
114,Baki,No,/title/tt6357658/,2018,2020,18,45 min," Action, Sport            ",6.7,"The protagonist, Baki Hanma, trains with an intense focus to become strong enough to surpass his father, Yujiro Hanma, the strongest fighter in the world.","Tôru Furuya,Kirk Thornton,Troy Baker,Nobunaga Shimazaki","4,012"
115,Fate/Zero,No,/title/tt2051178/,2011,2012,16,24 min," Action, Drama            ",8.3,Seven chosen mages and their summoned heroic spirits fight against each other to try and win the Holy Grail: a magical device that can grant any wish.,"Ayako Kawasumi,Kari Wahlgren,Sayaka Ôhara,Jôji Nakata","10,737"
116,Doragon bôru chô: Burorî,No,/title/tt7961060/,2018,No Finale yet,UA,100 min," Action, Adventure            ",7.9,"Goku and Vegeta encounter Broly, a Saiyan warrior unlike any fighter they've faced before.","Tatsuya Nagamine,Masako Nozawa,Aya Hisakawa,Ryô Horikawa,Toshio Furukawa","23,552"
117,Kari-gurashi no Arietti,No,/title/tt1568921/,2010,No Finale yet,U,94 min," Adventure, Family            ",7.6,"The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter, Arrietty, is discovered.","Hiromasa Yonebayashi,Amy Poehler,Will Arnett,Mirai Shida,Ryûnosuke Kamiki","83,326"
118,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Yes,/title/tt4728568/,2015,No Finale yet,NA,NA,NA,NA,NA,NA,NA
119,Tokyo Ghoul: re,No,/title/tt8213522/,2018,No Finale yet,18,24 min," Action, Drama            ",6.8,"Two years have passed since the CCG's raid on Anteiku. Although the atmosphere in Tokyo has changed drastically due to the increased influence of the CCG, ghouls continue to pose a problem ...                See full summary »","Natsuki Hanae,Austin Tindle,Adam Gibbs,Mikaela Krantz","7,158"
120,Hellsing Ultimate,Yes,/title/tt0495212/,2006,2012,NA,NA,NA,NA,NA,NA,NA
121,Ben 10: Ultimate Alien,No,/title/tt1622696/,2010,2012,All,22 min," Action, Adventure            ",7.6,"With his secret identity now revealed to the world, Ben Tennyson continues to fight evil as a superhero with the help of the newly acquired Ultimatrix.","Yuri Lowenthal,Ashley Johnson,Dee Bradley Baker,Greg Cipes","5,385"
122,"Kanojo, Okarishimasu",Yes,/title/tt11448214/,2020,No Finale yet,NA,NA,NA,NA,NA,NA,NA
123,Biohazard: Damnation,No,/title/tt1753496/,2012,No Finale yet,R,100 min," Action, Horror            ",6.5,Special Agent Leon S.Kennedy goes against his superior's orders and works to destroy a series of biological weapons being used in a war zone in Europe.,"Makoto Kamiya,Matthew Mercer,Dave Wittenberg,Wendee Lee,Val Tasso","18,718"
124,Goblin Slayer,No,/title/tt8690728/,2018,No Finale yet,16,30 min," Action, Adventure            ",7.5,"In a fantasy world, a lone hero makes his living by exterminating all goblins he encounters. But one day he meets a friend, and his life begins to become more intense.","Yuichiro Umehara,Yui Ogura,Hayden Daviau,Brad Hawkins","5,294"
125,Meitantei Conan,Yes,/title/tt0131179/,1996,No Finale yet,NA,NA,NA,NA,NA,NA,NA
126,Sailor Moon,Yes,/title/tt0114327/,1995,2000,NA,NA,NA,NA,NA,NA,NA
127,Erufen rîto,No,/title/tt0480489/,2004,No Finale yet,18,24 min," Action, Drama            ",8.0,"Two university students come across a seemingly harmless girl named Lucy, unaware that she's actually a mutant serial killer with a split personality.","Sanae Kobayashi,Chihiro Suzuki,Mamiko Noto,Adam Conlon","30,510"
128,Kaifuku Jutsushi no Yarinaoshi,Yes,/title/tt13370404/,2021,No Finale yet,NA,NA,NA,NA,NA,NA,NA
129,Mimi wo sumaseba,No,/title/tt0113824/,1995,No Finale yet,U,111 min," Drama, Family            ",7.9,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.","Yoshifumi Kondô,Yoko Honna,Issey Takahashi,Takashi Tachibana,Shigeru Muroi","54,201"
130,Kangoku gakuen,Yes,/title/tt4917066/,2015,No Finale yet,NA,NA,NA,NA,NA,NA,NA
131,SK8 the Infinity,Yes,/title/tt13129190/,2021,No Finale yet,NA,NA,NA,NA,NA,NA,NA
132,Isekai Mao to Shokan Shojo no Dorei Majutsu,No,/title/tt8438524/,2018,No Finale yet,18,24 min," Adventure, Comedy            ",7.1,An elite player is summoned by two maidens to save a fantasy game.,"Masaaki Mizunaka,Yû Serizawa,Azumi Waki,Jad Saxton","2,066"
133,Dorohedoro,No,/title/tt11147852/,2020,No Finale yet,18,25 min," Action, Comedy            ",8.2,In a sad town a clan of sorcerers use its people to experiment with the dark arts.,"Wataru Takagi,Reina Kondou,Ken'yû Horiuchi,Yoshimasa Hosoya","5,496"
134,Black Lagoon,No,/title/tt0962826/,2006,No Finale yet,18,25 min," Action, Adventure            ",8.0,"A Japanese businessman, captured by modern-day pirates, is written off and left for dead by his company. Tired of the corporate life, he opts to stick with the mercenaries that kidnapped him, becoming part of their gang.","Megumi Toyoguchi,Daisuke Namikawa,Maryke Hendrikse,Brad Swaile","12,676"
135,Domestic na Kanojo,Yes,/title/tt9817980/,2019,No Finale yet,NA,NA,NA,NA,NA,NA,NA
136,Noragami,Yes,/title/tt3225270/,2014,2016,NA,NA,NA,NA,NA,NA,NA
137,Kiru ra kiru: KILL la KILL,Yes,/title/tt3114390/,2013,2014,NA,NA,NA,NA,NA,NA,NA
138,Biohazard Regeneration,No,/title/tt1174954/,2008,No Finale yet,R,97 min," Action, Horror            ",6.5,"Leon S. Kennedy and Claire Redfield must battle a rogue warrior seeking revenge after unleashing the deadly G-Virus, whilst a mutated monster goes on a rampage.","Makoto Kamiya,Paul Mercier,Alyson Court,Laura Bailey,Roger Craig Smith","29,279"
139,Kuroshitsuji,Yes,/title/tt1316554/,2008,2010,NA,NA,NA,NA,NA,NA,NA
140,Kurenai no buta,No,/title/tt0104652/,1992,No Finale yet,U,94 min," Adventure, Comedy            ",7.7,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.","Hayao Miyazaki,Shûichirô Moriyama,Tokiko Katô,Bunshi Katsura Vi,Tsunehiko Kamijô","80,306"
141,Dragon Ball Z: Doragon bôru zetto,Yes,/title/tt0121220/,1989,1996,NA,NA,NA,NA,NA,NA,NA
142,Shaman King,Yes,/title/tt12502782/,2021,No Finale yet,NA,NA,NA,NA,NA,NA,NA
143,Koto no ha no niwa,No,/title/tt2591814/,2013,No Finale yet,U,46 min," Drama, Romance            ",7.5,A 15-year-old boy and 27-year-old woman find an unlikely friendship one rainy day in the Shinjuku Gyoen National Garden.,"Makoto Shinkai,Miyu Irino,Kana Hanazawa,Fumi Hirano,Gou Maeda","36,804"
144,Yu-Gi-Oh!,Yes,/title/tt0249327/,NA,No Finale yet,NA,NA,NA,NA,NA,NA,NA
